variable,srcmean_gamma,srcmed_gamma,tgtmean_gamma,tgtmed_gamma,numSrc,numTgt
30.61224#31.69388#32.97959#35.02041#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.059070922519685036,0.0259624,0.0909813941772152,0.030293900000000002,148,395
32.77551#33.85714#73.79592#75.83673#Bombing_Explosion-Facility_Infrastructure_Attack,0.07792748163751988,0.02016015,0.2545563983028721,0.0823774,171,766
36.02041#37.10204#2.36735#4.40816#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.08736513858267715,0.0175102,0.04381105441988951,0.0156255,182,724
32.77551#33.85714#35.02041#37.06122#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.06799496743055555,0.0254999,0.22826249504273508,0.30391799999999997,196,585
36.02041#37.10204#67.67347#69.71429#Bombing_Explosion-Facility_Infrastructure_Attack,0.10461953723608446,0.020407849999999998,0.026463718217054264,0.0148644,181,774
42.5102#43.59184#43.18367#45.22449#Bombing_Explosion-Facility_Infrastructure_Attack,0.11436071207888251,0.0227194,0.0496357867525299,0.023422400000000003,192,1087
36.02041#37.10204#4.40816#6.44898#Bombing_Explosion-Facility_Infrastructure_Attack,0.10963515886010362,0.0202963,0.09220065461095102,0.03240265,188,694
42.5102#43.59184#8.4898#10.53061#Bombing_Explosion-Facility_Infrastructure_Attack,0.07660176064652142,0.041032900000000004,0.42746737655502387,0.49718900000000005,186,209
30.61224#31.69388#35.02041#37.06122#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.06988427031438936,0.03927815,0.368707962962963,0.493447,203,243
29.53061#30.61224#65.63265#67.67347#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.11223330900576368,0.021497,0.029637989988623433,0.0155041,188,879
28.44898#29.53061#67.67347#69.71429#Bombing_Explosion-Facility_Infrastructure_Attack,0.0918112118323747,0.0212104,0.048965798387096776,0.0184391,192,930
31.69388#32.77551#32.97959#35.02041#Bombing_Explosion-Facility_Infrastructure_Attack,0.07146957222946546,0.0297373,0.2229908869387755,0.2789995,184,490
33.85714#34.93878#73.79592#75.83673#Bombing_Explosion-Facility_Infrastructure_Attack,0.0709987,0.01986685,0.030649390740740738,0.014873899999999999,173,486
14.38776#15.46939#43.18367#45.22449#Bombing_Explosion-Facility_Infrastructure_Attack,0.06695248932309839,0.0233837,0.20447061344743275,0.248346,204,409
6.81633#7.89796#79.91837#81.95918#Bombing_Explosion-Facility_Infrastructure_Attack,0.06617057241379311,0.022509,0.05569124641460234,0.0204338,175,767
33.85714#34.93878#61.55102#63.59184#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.06577781486254294,0.0196724,0.08841559142156862,0.03307615,185,408
33.85714#34.93878#71.7551#73.79592#Bombing_Explosion-Facility_Infrastructure_Attack,0.10848772096618357,0.0197955,0.03914991383315734,0.0195352,190,947
42.5102#43.59184#-3.7551#-1.71429#Bombing_Explosion-Facility_Infrastructure_Attack,0.08167968917819364,0.0208141,0.09693444635332255,0.027985400000000004,177,617
34.93878#36.02041#63.59184#65.63265#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.08664660705962988,0.0542658,0.3595126895953757,0.492623,184,173
31.69388#32.77551#63.59184#65.63265#Bombing_Explosion-Facility_Infrastructure_Attack,0.09674304511627907,0.01983505,0.04624898073270013,0.015600999999999999,178,737
24.12245#25.20408#65.63265#67.67347#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.1085001899812734,0.0210436,0.04198551159844054,0.018630299999999995,184,1026
32.77551#33.85714#41.14286#43.18367#Bombing_Explosion-Facility_Infrastructure_Attack,0.05560661771620487,0.0206026,0.09062318199356913,0.0525759,189,311
27.36735#28.44898#67.67347#69.71429#Bombing_Explosion-Facility_Infrastructure_Attack,0.09460366646928202,0.0202169,0.11900916459510359,0.0335364,167,531
1.40816#2.4898#43.18367#45.22449#Bombing_Explosion-Facility_Infrastructure_Attack,0.05118457541666666,0.022517099999999998,0.08103275671641791,0.0324432,190,201
32.77551#33.85714#69.71429#71.7551#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.11192291868629672,0.019449,0.05123799625603864,0.0199569,179,828
29.53061#30.61224#47.26531#49.30612#Bombing_Explosion-Facility_Infrastructure_Attack,0.08454361477064219,0.01965755,0.030811224287652643,0.014182499999999999,183,737
32.77551#33.85714#67.67347#69.71429#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.08660630439684329,0.018942700000000003,0.034174727259684366,0.018477200000000003,186,697
37.10204#38.18367#22.77551#24.81633#Bombing_Explosion-Facility_Infrastructure_Attack,0.10109392637681161,0.019146200000000002,0.033615934522439585,0.0199933,188,869
13.30612#14.38776#45.22449#47.26531#Bombing_Explosion-Facility_Infrastructure_Attack,0.07947732536363637,0.03906875,0.15474686855123676,0.06670110000000001,169,283
31.69388#32.77551#43.18367#45.22449#Bombing_Explosion-Facility_Infrastructure_Attack,0.10097856319796954,0.01892475,0.03803454099099099,0.018589099999999997,185,666
29.53061#30.61224#65.63265#67.67347#Bombing_Explosion-Facility_Infrastructure_Attack,0.10978278145922746,0.0204558,0.037031667752808986,0.0191626,192,890
32.77551#33.85714#67.67347#69.71429#Bombing_Explosion-Facility_Infrastructure_Attack,0.11883196760089686,0.02074555,0.06606649418742586,0.0189874,185,843
32.77551#33.85714#71.7551#73.79592#Bombing_Explosion-Facility_Infrastructure_Attack,0.08075017083333333,0.02016815,0.0377957605893186,0.0139815,172,543
32.77551#33.85714#73.79592#75.83673#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.07402700881849315,0.018678300000000002,0.10985159668141595,0.028598,166,452
34.93878#36.02041#67.67347#69.71429#Bombing_Explosion-Facility_Infrastructure_Attack,0.07902538355837967,0.0196883,0.15206990873362444,0.0329613,180,458
33.85714#34.93878#67.67347#69.71429#Bombing_Explosion-Facility_Infrastructure_Attack,0.126049016781293,0.020632400000000002,0.05417152908587256,0.020842,179,722
31.69388#32.77551#69.71429#71.7551#Bombing_Explosion-Facility_Infrastructure_Attack,0.09153282624338624,0.0184932,0.04186403728362184,0.0156184,178,751
29.53061#30.61224#67.67347#69.71429#Bombing_Explosion-Facility_Infrastructure_Attack,0.058272750561797745,0.02498205,0.11215038452380952,0.033436,203,168
37.10204#38.18367#39.10204#41.14286#Bombing_Explosion-Facility_Infrastructure_Attack,0.08504913195139385,0.0579966,0.40299131832061064,0.493176,183,131
