EntityIdx,SiteLocation
Site-138,673.785080325805,1127.19720525039
Site-139,-836.623898362204,2973.84011876089
Site-140,725.271558009479,403.155322163963
Site-141,-828.757967271405,2996.50302536173
Site-142,-430.946771124442,1500.34133050887
Site-143,-1268.09483437566,1856.32239561889
Site-144,-1520.88034888744,987.196746449015
Site-145,-940.817886241628,3101.63355629369
Site-146,-1408.91995133826,1586.35468751391
Site-147,317.240249183709,724.444314297853
Site-148,-1813.19455704993,1956.55998620513
Site-149,-1320.06721847986,1766.87241343995
Site-150,-1747.38019887826,841.964450053276
Site-151,73.0235073574426,2582.19043285424
Site-152,-847.55451661888,2838.09783154432
Site-153,-1485.09225012002,1512.59176048547
Site-154,411.330586711068,1131.26112595821
Site-155,-809.639953866823,1563.34045579625
Site-156,-918.939649736516,3110.19551480454
Site-157,857.265613632695,1032.90393864285
Site-158,-254.258871609294,1255.97414122698
Site-159,-1230.13333835161,699.80257722853
Site-160,403.401228311222,797.673396139595
Site-161,1167.2868039223,391.124889032673
Site-162,-822.423785726536,2924.15277669448
Site-163,-682.439529161344,1808.93419774741
Site-164,-1167.64805052508,2050.00006071151
Site-165,11.075303677157,2488.57235422094
Site-166,-290.327632515348,1496.11436384784
Site-167,645.348272353903,2022.62948130702
Site-168,1072.72258260634,463.867984892812
Site-169,73.7875798725447,272.556544147649
Site-170,952.098655612173,1254.87543337835
Site-171,14.629057963423,1138.33024892676
Site-172,47.3709839263733,1267.60402795344
Site-173,-1515.71273983981,1839.02956410179
Site-174,912.673176479856,1338.65631131145
Site-175,-1620.63334813921,2059.37211559572
Site-176,474.73058960536,2031.73513162443
Site-177,1188.31259749514,391.124889032673
Site-178,60.5935408264006,79.6240797539363
Site-179,709.133474453571,468.966643614003
Site-180,-888.002414654507,1727.0126885127
Site-181,767.46341609356,1328.81373862286
Site-182,-1529.29679893669,1329.08438801771
Site-183,-589.353719757748,1459.74214177018
Site-184,-1474.04111291586,1558.46860360241
Site-185,-754.120129722736,1563.34045579625
Site-186,439.898913782169,2794.30996263949
Site-187,-1320.06721847986,1788.33063416659
Site-188,955.616261135789,631.921273005095
Site-189,-1546.26517407039,905.507111603306
Site-190,951.980805040764,2391.62512929946
Site-191,-1085.05830987016,2054.5630698756
Site-192,-574.195202853156,1603.83470857425
Site-193,-1832.85776400731,1964.53839373605
Site-194,321.693028615868,2024.40875103383
Site-195,899.416612680768,2278.45111452302
Site-196,-835.531466272039,3095.66925247531
Site-197,353.222270687782,2503.95065744045
Site-198,-1142.36381887747,1606.88431343981
Site-199,81.6774003339225,295.221281579207
Site-200,-895.811216050246,1540.62146806828
Site-201,-1213.71889040028,761.33596329246
Site-202,-1499.2600324702,1769.90328098186
Site-203,115.413353562652,793.797528574365
Site-204,-5.36820097928911,473.582161689789
Site-205,-892.202538047516,1343.75625024946
Site-206,475.628640315451,1923.97533407793
Site-207,-1546.26517407039,861.602140770138
Site-208,969.068235271214,1171.14710041843
Site-209,-1522.74236564169,1943.89184024395
Site-210,-583.741867832605,3223.27002141964
Site-211,44.2489642741164,2597.23643313046
Site-212,928.531387496808,631.921273005095
Site-213,-1814.69150636355,1838.64040887862
Site-214,-1255.51969357234,1449.12935593508
Site-215,226.283683328385,1074.69684543033
Site-216,-1443.0040155406,2064.61814553024
Site-217,-689.982958277485,2199.38090370571
Site-218,-1401.12048717034,2161.5171391146
Site-219,-1756.65873802628,1728.3399080484
Site-220,767.46341609356,1360.27511516004
Site-221,-1598.73274837658,1449.9617707486
Site-222,877.771037890744,495.645509979331
Site-223,108.83621173892,2656.86503268025
Site-224,-1162.89359268745,1598.06208817783
Site-225,-659.910726642234,1688.66294416596
Site-226,-940.817886241628,3101.63355629369
Site-227,860.691880782588,2391.62512929946
Site-228,-864.245236903235,2200.21795004146
Site-229,-1254.56136436619,1586.30928484473
Site-230,253.470490621238,2014.96840550237
Site-231,380.173002454068,724.444314297853
Site-232,382.598010849506,1041.71036572139
Site-233,116.630880697733,1165.47302697075
Site-234,770.641370587785,1162.51020112788
Site-235,-1942.02246020143,2077.11916174585
Site-236,-873.404579942018,1873.51921283039
Site-237,-1749.89185857121,745.345254943785
Site-238,-895.811216050246,1408.75080003951
Site-239,-668.728192305133,1858.35336480467
Site-240,-775.024371314431,1155.72884460105
Site-241,-779.320246800223,2273.05465552856
Site-242,-1934.04115927505,1800.56749469799
Site-243,-1019.80284364508,1956.79295621552
Site-244,469.520003359914,2084.03461136037
Site-245,-169.102126520604,2592.07575965114
Site-246,929.15857397622,2414.72476649735
Site-247,-1318.42808110176,1965.92545195854
Site-248,-905.290294885584,1163.25990562693
Site-249,-1815.52724115909,1746.68082264188
Site-250,411.330586711068,1191.54025781945
Site-251,-762.013708735154,2673.34540967525
Site-252,-1540.34793614086,1466.71491736853
Site-253,-1098.65250757341,2074.55512724372
Site-254,938.953551133466,403.353484752779
Site-255,-1352.76530063607,1745.41419271331
Site-256,-879.216021669422,2375.34550327327
Site-257,-836.623898362204,2973.84011876089
Site-258,-1492.18802062906,1985.03013099547
Site-259,-1154.37991454098,2032.21643723249
Site-260,770.641370587785,1117.31332465336
Site-261,-895.811216050246,1606.55680208267
Site-262,875.570253977221,1053.98508899897
Site-263,1028.50695736815,2609.27696168967
Site-264,-1432.93031272339,1197.25665458686
Site-265,-1705.21260719431,901.841049729767
Site-266,-279.844158882301,1469.70249964471
Site-267,838.960973288169,1053.98508899897
Site-268,-214.112341748911,1449.91567220746
Site-269,-1167.64805052508,2050.00006071151
Site-270,-650.775354583424,3010.72236408661
Site-271,-780.851775790305,1779.82354763365
Site-272,-457.791280854316,2824.55918421369
Site-273,-713.140097602285,2208.8949287864
Site-274,353.222270687782,2431.86792687715
Site-275,-269.360685249253,1496.11436384784
Site-276,-830.194141473425,2906.66841044966
Site-277,-1172.61835615574,1947.16077394001
Site-278,865.284382383409,687.244731629953
Site-279,-1160.03157194394,703.615110609747
Site-280,-873.404579942018,1854.32638165341
Site-281,413.987105083513,2084.03461136037
Site-282,-1478.70509306298,1878.35477308971
Site-283,789.033563990521,720.696879885578
Site-284,952.098655612173,1338.65631131145
Site-285,-1493.60644546344,1081.3109859039
Site-286,-1401.12048717034,2064.61814553024
Site-287,44.2489642741164,2567.14443257801
Site-288,974.803036105308,2414.72476649735
Site-289,-1599.05057471985,1263.44655689181
Site-290,-1246.54778630294,761.33596329246
Site-291,-1529.56747076438,1119.44718109331
Site-292,-1805.16639373307,866.743653735228
Site-293,875.525566912298,723.705596765134
Site-294,14.9530340843393,3149.85515983658
Site-295,579.943478411923,266.632431213989
Site-296,-744.392253757938,3192.07262592218
Site-297,-1942.39798523,1819.25704205492
Site-298,43.8764612935769,2715.54226238852
Site-299,685.526322641321,1150.10461463704
Site-300,805.891496866392,736.03578177018
Site-301,275.833602925953,1031.80953184867
Site-302,-1531.30353980088,2164.49321209862
Site-303,-888.002414654507,1686.04171497668
Site-304,-842.757413583225,2411.08569221279
Site-305,-751.327640256859,2844.61926508811
Site-306,-160.3355952318,2788.44852591539
Site-307,787.399219998321,489.23517044752
Site-308,-1896.25131455466,2077.11916174585
Site-309,588.548515744721,289.361399801809
Site-310,-1399.4362398382,1864.70398980776
Site-311,1012.17122110029,1512.9459502396
Site-312,-1813.19455704993,1956.55998620513
Site-313,-1250.81218980063,1870.51153449824
Site-314,-721.89839672133,3201.72959213137
Site-315,-915.894495658492,1234.37186631308
Site-316,-1602.74745214089,1380.33276453006
Site-317,166.978106219436,2659.40751056079
Site-318,942.073824316299,647.793912326744
Site-319,-1603.99280908534,2077.95833415314
Site-320,738.005541091488,1162.51020112788
Site-321,283.104652927647,2759.66045680902
Site-322,1188.31259749514,425.920208205248
Site-323,1012.17122110029,1310.22831290786
Site-324,-1172.61835615574,1928.3268240872
Site-325,-430.471182077475,1580.15632542925
Site-326,933.961151471816,1557.25945425814
Site-327,-1159.29076563154,1909.49287423439
Site-328,-1071.46411216692,2034.57101250748
Site-329,-1505.25835780942,1197.25665458686
Site-330,154.843625798958,987.554820947971
Site-331,579.943478411923,266.632431213989
Site-332,-842.757413583225,2375.34550327327
Site-333,-892.202538047516,1302.60555775843
Site-334,4.06590494545123,3169.90578783055
Site-335,772.17563111465,736.03578177018
Site-336,-1503.24787563361,1012.95034748899
Site-337,1005.72062227167,403.353484752779
Site-338,837.869649718043,2322.32621770579
Site-339,-1411.30134818697,1774.09372675999
Site-340,-796.218797488158,1221.17398119257
Site-341,1030.59919268803,1171.14710041843
Site-342,-892.040823364,1220.977301928
Site-343,1133.04129072426,1097.36703644631
Site-344,-900.628085676089,1863.9227972419
Site-345,61.3568355439584,2422.31123990111
Site-346,-1507.46519313538,1964.46098561971
Site-347,101.798050440769,2597.23643313046
Site-348,-38.5207352423608,2664.45257836313
Site-349,-1408.58644129399,1843.59226635748
Site-350,-1934.04115927505,1800.56749469799
Site-351,-1312.57263846766,1849.35180355812
Site-352,-169.102126520604,2566.26782281135
Site-353,684.142867473411,2022.62948130702
Site-354,-1531.30353980088,2187.5483061535
Site-355,-939.748167952985,1220.977301928
Site-356,855.04319785452,723.705596765134
Site-357,-1749.89185857121,671.173714475041
Site-358,568.33206495764,2164.5129121319
Site-359,-1522.74236564169,1943.89184024395
Site-360,-466.591503190868,2848.89692996057
Site-361,-1478.70509306298,1839.02956410179
Site-362,-1334.61976309043,1586.30928484473
Site-363,355.337069369676,2759.66045680902
Site-364,-1776.48500054973,1620.96021783985
Site-365,-1591.14362081617,1427.8984014274
Site-366,-529.749442987369,3243.66309546586
Site-367,208.858854273146,2700.03706478171
Site-368,-831.702910539736,2849.93140413225
Site-369,-1758.50074446374,763.888140060971
Site-370,-820.86535104986,3117.41711555784
Site-371,-561.772993820842,1623.65529793017
Site-372,-50.9750729306855,2648.1514945807
Site-373,-1019.60571397758,1606.55680208267
Site-374,-1172.61835615574,1871.82497452876
Site-375,-881.540123512007,3176.87240152271
Site-376,770.641370587785,1162.51020112788
Site-377,156.173931100164,1165.47302697075
Site-378,355.417408185694,1131.26112595821
Site-379,-1741.28297267868,726.802369826599
Site-380,69.3886797787796,3049.6020198667
Site-381,-1455.39343150397,994.511251237254
Site-382,-1814.69150636355,1838.64040887862
Site-383,1189.07877263638,1226.1193526391
Site-384,116.630880697733,1128.46518282294
Site-385,-586.617411885471,1584.01411921833
Site-386,-26.0320840179233,709.884702751763
Site-387,-1540.34793614086,1374.96123113465
Site-388,-751.327640256859,2902.16165503954
Site-389,955.616261135789,631.921273005095
Site-390,-659.81872014047,2471.91513467129
Site-391,-1497.2089164514,1858.69216859575
Site-392,29.9306649509953,2480.66339480477
Site-393,-25.2690119261728,851.634936141201
Site-394,-683.053546843015,1680.8752396532
Site-395,-1142.36381887747,1606.88431343981
Site-396,-918.939649736516,3110.19551480454
Site-397,656.955269130131,403.155322163963
Site-398,441.753554221714,2092.66049856763
Site-399,9.73074714682025,1232.19297845207
Site-400,275.833602925953,1074.69684543033
Site-401,-1835.68322993192,1648.45451805559
Site-402,1113.52045615371,564.418139416981
Site-403,-1509.74449874375,861.602140770138
Site-404,-1162.62012640032,1662.74541495145
Site-405,-935.698154866011,1302.60555775843
Site-406,1167.2868039223,425.920208205248
Site-407,-847.55451661888,2838.09783154432
Site-408,-768.000085758758,1629.48824168726
Site-409,692.049426116327,569.754130760195
Site-410,-828.757967271405,2996.50302536173
Site-411,-1756.65873802628,1765.75272151029
Site-412,-16.7013331595062,732.555087764021
Site-413,-1812.93074215248,845.154708741231
Site-414,-873.404579942018,1873.51921283039
Site-415,-1757.57848251454,1673.42738617958
Site-416,-1531.30353980088,2141.43811804374
Site-417,-1538.51282214127,1012.95034748899
Site-418,1104.11699396835,1097.36703644631
Site-419,73.7875798725447,272.556544147649
Site-420,-678.788368756798,2888.6007966247
Site-421,45.6612351754536,50.5609882532774
Site-422,-1516.73141786382,2118.38302398887
Site-423,-1599.05057471985,1298.33316973897
Site-424,154.843625798958,1041.14444029515
Site-425,837.869649718043,2368.52549210157
Site-426,-1092.27105180378,1955.10718010903
Site-427,-780.851775790305,1808.93419774741
Site-428,1189.07877263638,1302.02804068601
Site-429,-799.130758061242,1163.98053888136
Site-430,-1148.07772381766,768.117626538918
Site-431,673.785080325805,1127.19720525039
Site-432,349.614109833403,2094.01526283424
Site-433,-91.9038302273134,1621.0787728092
Site-434,928.531387496808,631.921273005095
Site-435,-1451.0123239949,1189.33433585082
Site-436,-1502.15929592676,2072.27283587912
Site-437,-394.970764947247,1617.93724626583
Site-438,108.83621173892,2656.86503268025
Site-439,47.6144215010035,3049.6020198667
Site-440,-1171.98542007022,768.117626538918
Site-441,-1233.52954522561,1884.70067337759
Site-442,1189.07877263638,1150.21066459219
Site-443,-779.320246800223,2481.38377152547
Site-444,-579.952309136095,1475.85742067204
Site-445,-1235.78304497628,1769.97808067544
Site-446,-1390.28603838241,1885.81571325804
Site-447,716.211709386293,577.939586623343
Site-448,-1652.59034424996,892.540892905691
Site-449,-940.817886241628,3101.63355629369
Site-450,108.83621173892,2656.86503268025
Site-451,-851.094744507854,2735.03451304627
Site-452,-659.81872014047,2556.21881459553
Site-453,32.9349446317487,841.83081192627
Site-454,355.337069369676,2799.84284638645
Site-455,-1469.0943352664,1181.41201711478
Site-456,-1365.32314918943,2195.37165441167
Site-457,-1019.6124948631,1675.36631657515
Site-458,30.7289295245066,21.4978967526186
Site-459,-873.404579942018,1854.32638165341
Site-460,-768.728328636225,2887.77605755168
Site-461,-143.594395720054,2788.44852591539
Site-462,254.30749591335,724.444314297853
Site-463,-430.471182077475,1617.93724626583
Site-464,68.9568334564953,796.936941452878
Site-465,598.917621895595,406.491878958837
Site-466,-1410.15545365931,1702.21640572264
Site-467,1008.30502268786,587.569708741528
Site-468,29.2681116471057,2754.83360745633
Site-469,-1538.51282214127,961.443145409043
Site-470,770.641370587785,1117.31332465336
Site-471,837.869649718043,2276.12694331001
Site-472,-756.248714133065,1808.93419774741
Site-473,941.679978738197,2278.45111452302
Site-474,-1732.67408678615,708.259484709413
Site-475,-1600.89348966298,1018.49720731736
Site-476,-931.461710257676,2820.76608302781
Site-477,-660.744512561652,2905.38421642456
Site-478,-689.982958277485,2199.38090370571
Site-479,-1803.76862830318,770.45166860678
Site-480,344.758351819755,797.673396139595
Site-481,228.566505288984,821.142280242903
Site-482,-678.788368756798,2888.6007966247
Site-483,-1832.85776400731,1964.53839373605
Site-484,-1651.26084740496,1298.33316973897
Site-485,-1432.93031272339,1197.25665458686
Site-486,-1154.37991454098,2032.21643723249
Site-487,773.416294195502,504.028046129467
Site-488,512.701605187059,2198.72879035102
Site-489,1105.26028823235,583.388551092711
Site-490,-1240.93851373221,2034.72794357238
Site-491,-918.939649736516,3110.19551480454
Site-492,874.393416901922,540.937999144983
Site-493,420.748074525707,2031.73513162443
Site-494,936.883651970738,571.067940674308
Site-495,-1835.68322993192,1746.68082264188
Site-496,-750.469881867439,2661.55567582967
Site-497,-1162.62012640032,1705.55364528696
Site-498,60.5935408264006,79.6240797539363
Site-499,-1576.48958511338,2194.23800897363
Site-500,-2005.68835708042,1941.25809327034
Site-501,-826.385870089648,1463.28678580803
Site-502,-785.749684368276,2200.21795004146
Site-503,-1010.6463915715,1975.61425027301
Site-504,3.69801305824,453.316063349956
Site-505,933.961151471816,1457.03775078775
Site-506,-1767.03174153213,1647.19380200971
Site-507,-46.4929918261599,1565.98742096641
Site-508,-1479.98927767924,1639.72844547857
Site-509,1002.29607354948,1563.62535957254
Site-510,-1652.59034424996,842.011980935007
Site-511,-699.125575118763,2830.23366760025
Site-512,1040.37335395608,2586.85301118443
Site-513,1029.33769404419,711.670472264628
Site-514,-570.375931551665,2838.21713224258
Site-515,692.049426116327,569.754130760195
Site-516,-892.202538047516,1343.75625024946
Site-517,-900.628085676089,1863.9227972419
Site-518,-664.324198360033,2830.23366760025
Site-519,-847.860020323933,2256.96108941099
Site-520,-733.926951877494,2916.54725252739
Site-521,-1594.1719378878,1094.47748848719
Site-522,-847.860020323933,2306.15219128911
Site-523,650.793986523779,2252.50611416187
Site-524,-46.5856875422232,1021.57054081135
Site-525,-1172.61835615574,1947.16077394001
Site-526,-645.790986515721,1847.16559521032
Site-527,941.679978738197,2324.65232854553
Site-528,-38.5207352423608,2664.45257836313
Site-529,14.629057963423,1045.05599461618
Site-530,-1010.58612778007,2094.38615020365
Site-531,789.033563990521,720.696879885578
Site-532,-1515.71273983981,1839.02956410179
Site-533,-1342.0810167473,1371.73515836622
Site-534,196.993971241526,2393.76973422802
Site-535,-1402.59605549877,1754.34804277154
Site-536,213.896203428993,1085.41867382574
Site-537,-1162.89359268745,1598.06208817783
Site-538,685.526322641321,1150.10461463704
Site-539,-1172.61835615574,1928.3268240872
Site-540,-941.410618952621,1686.04171497668
Site-541,1022.04636865111,1259.54890357492
Site-542,-1942.39798523,1819.25704205492
Site-543,946.324353066664,470.229071324735
Site-544,81.6774003339225,295.221281579207
Site-545,1167.2868039223,565.101484895547
Site-546,-1811.59912908342,748.599666479273
Site-547,1058.94534129379,2512.68709473937
Site-548,1028.50695736815,2609.27696168967
Site-549,-25.2690119261728,1021.57054081135
Site-550,-1405.49054577004,994.511251237254
Site-551,-822.423785726536,2924.15277669448
Site-552,208.858854273146,2659.40751056079
Site-553,-1478.28287602401,1782.16302400747
Site-554,-850.197581494218,3117.41711555784
Site-555,-1142.36381887747,1606.88431343981
Site-556,-1526.666338747,1639.72844547857
Site-557,-254.258871609294,1358.91273509914
Site-558,-1159.29076563154,1909.49287423439
Site-559,-911.238800899227,2809.83930525314
Site-560,-915.894495658492,1234.37186631308
Site-561,418.061947434088,784.216730635162
Site-562,-1344.82727958267,1045.13719867749
Site-563,1030.59919268803,1144.07864593129
Site-564,-892.202538047516,1302.60555775843
Site-565,-50.9750729306855,2648.1514945807
Site-566,-887.379429920031,2256.96108941099
Site-567,-290.327632515348,1496.11436384784
Site-568,-1546.26517407039,905.507111603306
Site-569,116.630880697733,1165.47302697075
Site-570,-681.724886739398,2844.61926508811
Site-571,-457.791280854316,2824.55918421369
Site-572,11.075303677157,2488.57235422094
Site-573,-1328.86880356934,1865.67982875346
Site-574,-1338.335259114,1449.12935593508
Site-575,-276.356854462188,1333.1780866311
Site-576,-1213.71889040028,638.269191164599
Site-577,-762.013708735154,2673.34540967525
Site-578,-1167.64805052508,2050.00006071151
Site-579,73.7875798725447,272.556544147649
Site-580,474.73058960536,1995.27895059697
Site-581,-1312.57263846766,1849.35180355812
Site-582,-744.392253757938,3192.07262592218
Site-583,-466.591503190868,2848.89692996057
Site-584,-457.791280854316,2824.55918421369
Site-585,-1529.56747076438,1081.3109859039
Site-586,-1493.60644546344,1081.3109859039
Site-587,-1421.58319939554,1680.83292695459
Site-588,47.3709839263733,1232.19297845207
Site-589,-1253.9412190692,1385.82689709694
Site-590,295.961007664904,2073.28690672717
Site-591,-923.610680682088,3164.9348478477
Site-592,-1492.18802062906,1985.03013099547
Site-593,-1598.73274837658,1449.9617707486
Site-594,588.548515744721,289.361399801809
Site-595,36.565332482733,691.906711205876
Site-596,-668.728192305133,1858.35336480467
Site-597,410.451430663262,1056.96238960934
Site-598,-1776.48500054973,1620.96021783985
Site-599,-1213.71889040028,792.102656324425
Site-600,242.442725350175,794.497528991066
Site-601,322.787558749154,2083.6510847807
Site-602,-1081.50296294124,1606.55680208267
Site-603,420.748074525707,1995.27895059697
Site-604,-931.461710257676,2820.76608302781
Site-605,406.15576297233,959.071153894837
Site-606,-785.749684368276,2181.67385272071
Site-607,-1715.00726206465,1765.75272151029
Site-608,874.393416901922,571.067940674308
Site-609,-1814.69150636355,1838.64040887862
Site-610,-1749.89185857121,745.345254943785
Site-611,749.930417304538,1344.54442689145
Site-612,-1162.89359268745,1598.06208817783
Site-613,-1591.14362081617,1427.8984014274
Site-614,673.785080325805,1127.19720525039
Site-615,1189.07877263638,1339.98238470947
Site-616,-1934.04115927505,1800.56749469799
Site-617,9.73074714682025,1267.60402795344
Site-618,-438.520250007787,1525.67354127599
Site-619,-713.140097602285,2208.8949287864
Site-620,890.015975669126,540.937999144983
Site-621,-637.734292677842,3202.87694737343
Site-622,-1171.88881362123,1780.35393942211
Site-623,-592.376885405685,2830.39862628297
Site-624,-57.8457014264482,1634.85161076989
Site-625,283.104652927647,2799.84284638645
Site-626,-873.404579942018,1873.51921283039
Site-627,-1359.03915049941,1497.48616280309
Site-628,664.615957967889,468.966643614003
Site-629,1008.30502268786,711.670472264628
Site-630,-1213.71889040028,669.035884196564
Site-631,793.587846888827,403.155322163963
Site-632,129.599499197507,1620.35366373593
Site-633,-1505.25835780942,1197.25665458686
Site-634,-1453.47489763317,2088.84289392633
Site-635,-1478.70509306298,1878.35477308971
Site-636,-659.81872014047,2514.06697463341
Site-637,-751.327640256859,2844.61926508811
Site-638,738.005541091488,1162.51020112788
Site-639,-887.379429920031,2306.15219128911
Site-640,-1648.14467985563,1350.55720662651
Site-641,-1336.94751087944,2136.84579964769
Site-642,-750.469881867439,2661.55567582967
Site-643,373.395173480183,2809.88844378081
Site-644,-1802.71046035336,657.421436674042
Site-645,955.645318918016,416.001613228457
Site-646,-1625.1557110624,1280.88986331539
Site-647,858.770858134718,571.067940674308
Site-648,81.6774003339225,295.221281579207
Site-649,-38.5207352423608,2664.45257836313
Site-650,846.006320437581,1117.01019144415
Site-651,355.417408185694,1191.54025781945
Site-652,643.094629045939,2274.96368553021
Site-653,846.006320437581,1171.14710041843
Site-654,-1942.39798523,1819.25704205492
Site-655,568.33206495764,2198.72879035102
Site-656,-1328.86880356934,1865.67982875346
Site-657,-1886.89263007972,1948.70648667364
Site-658,-1896.25131455466,2026.5902416698
Site-659,-880.336903809329,1392.26696653591
Site-660,-1351.13533003444,2166.10872702968
Site-661,-911.238800899227,2809.83930525314
Site-662,-1805.16639373307,866.743653735228
Site-663,-570.375931551665,2838.21713224258
Site-664,-839.469566341925,3164.9348478477
Site-665,129.599499197507,1570.08612857653
Site-666,-1598.73274837658,1449.9617707486
Site-667,-26.0320840179233,709.884702751763
Site-668,-1933.292003834,1948.70648667364
Site-669,298.952182617658,2033.84909656529
