variable,srcmean_gamma,srcmed_gamma,tgtmean_gamma,tgtmed_gamma,numSrc,numTgt
41.55102#42.34694#47.36735#48.77551#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.06696800378583018,0.0425255,0.2381040290611028,0.105649,687,671
32.0#32.79592#40.32653#41.73469#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.33145205113636367,0.454088,0.28725275202020206,0.218563,172,198
41.55102#42.34694#47.36735#48.77551#Bombing_Explosion-Facility_Infrastructure_Attack,0.14546918140427864,0.0297449,0.20637095091463417,0.129244,410,1640
35.97959#36.77551#3.71429#5.12245#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.06180825361544782,0.030290150000000002,0.23243704767605633,0.10578499999999999,587,1420
34.38776#35.18367#34.69388#36.10204#Bombing_Explosion-Facility_Infrastructure_Attack,0.1597365300682457,0.0300225,0.05335528073281186,0.026343400000000003,392,2429
37.57143#38.36735#22.02041#23.42857#Bombing_Explosion-Facility_Infrastructure_Attack,0.10914601535150645,0.07058880000000001,0.30155478797250856,0.454262,260,291
56.67347#57.46939#16.38776#17.79592#Bombing_Explosion-Facility_Infrastructure_Attack,0.3828500094382023,0.454294,0.24541936331360947,0.144554,251,169
39.95918#40.7551#41.73469#43.14286#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.10481121712132091,0.0652191,0.1397258388535032,0.09461885,405,942
36.77551#37.57143#9.34694#10.7551#Bombing_Explosion-Facility_Infrastructure_Attack,0.07637762188492764,0.053696,0.2468973668776371,0.122512,549,474
43.14286#43.93878#6.53061#7.93878#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.32694809375,0.454128,0.24945917342657342,0.14316600000000002,194,143
32.79592#33.59184#20.61224#22.02041#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.11034625283474066,0.07243580000000001,0.2599136510373444,0.14444200000000001,340,241
44.73469#45.53061#6.53061#7.93878#Bombing_Explosion-Facility_Infrastructure_Attack,0.10888934543918918,0.07255215,0.288617489453125,0.4519195,209,256
55.08163#55.87755#37.5102#38.91837#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.07088763849765259,0.04906075,0.2573999217506631,0.13108999999999998,552,754
36.77551#37.57143#5.12245#6.53061#Bombing_Explosion-Facility_Infrastructure_Attack,0.10467060472727274,0.0720044,0.25607774779116466,0.144005,328,249
54.28571#55.08163#-1.91837#-0.5102#Bombing_Explosion-Facility_Infrastructure_Attack,0.144413525477707,0.09472405,0.22554995725338492,0.297708,206,517
45.53061#46.32653#-0.5102#0.89796#Bombing_Explosion-Facility_Infrastructure_Attack,0.33961624551971326,0.45417700000000005,0.31993981135135136,0.48598900000000006,161,185
49.5102#50.30612#9.34694#10.7551#Bombing_Explosion-Facility_Infrastructure_Attack,0.38143974328018226,0.45430200000000004,0.2444626374015748,0.1439085,256,254
42.34694#43.14286#44.55102#45.95918#Bombing_Explosion-Facility_Infrastructure_Attack,0.062214054273127754,0.031663949999999996,0.22774525445240532,0.10737000000000001,456,977
51.89796#52.69388#38.91837#40.32653#Bombing_Explosion-Facility_Infrastructure_Attack,0.322569632,0.4540475,0.27592281528662427,0.21863400000000002,136,157
55.08163#55.87755#12.16327#13.57143#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.10813819160739686,0.0813161,0.26764775644768857,0.15049500000000002,514,411
36.77551#37.57143#36.10204#37.5102#Bombing_Explosion-Facility_Infrastructure_Attack,0.0856448621297338,0.05880080000000001,0.1347517841134752,0.0830702,413,705
33.59184#34.38776#41.73469#43.14286#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.1576472739047619,0.0257454,0.07080253567099566,0.036763699999999996,344,1155
35.97959#36.77551#7.93878#9.34694#Bombing_Explosion-Facility_Infrastructure_Attack,0.09607245251827783,0.06845794999999999,0.10327729766899767,0.0861717,425,429
32.0#32.79592#13.57143#14.97959#Bombing_Explosion-Facility_Infrastructure_Attack,0.06968845625511039,0.0376906,0.22922620532188842,0.10791400000000001,665,1165
47.91837#48.71429#-3.32653#-1.91837#Bombing_Explosion-Facility_Infrastructure_Attack,0.3455058983277592,0.45302200000000004,0.2713480553072625,0.144428,183,179
51.10204#51.89796#30.46939#31.87755#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.32888761104972375,0.4250885,0.27997281804511276,0.218678,206,133
35.97959#36.77551#3.71429#5.12245#Bombing_Explosion-Facility_Infrastructure_Attack,0.06566499980263159,0.0296478,0.10580927111486486,0.0694526,362,1184
48.71429#49.5102#23.42857#24.83673#Bombing_Explosion-Facility_Infrastructure_Attack,0.1035846460375817,0.06842895,0.2218039470982143,0.28453550000000005,421,896
39.16327#39.95918#26.2449#27.65306#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.39471225358851675,0.454326,0.24903796228070177,0.14456249999999998,232,228
35.18367#35.97959#37.5102#38.91837#Bombing_Explosion-Facility_Infrastructure_Attack,0.3499788229299363,0.4541875,0.26078401833333337,0.14321650000000002,203,120
43.14286#43.93878#41.73469#43.14286#Bombing_Explosion-Facility_Infrastructure_Attack,0.12086451267252196,0.0784281,0.2674548454225352,0.169176,313,284
35.18367#35.97959#6.53061#7.93878#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.33315411630901287,0.45412299999999994,0.2440233215686274,0.1432245,134,102
47.91837#48.71429#38.91837#40.32653#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.12426266857871256,0.044027449999999996,0.07940508753809686,0.04466130000000001,365,2953
55.08163#55.87755#48.77551#50.18367#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.34213696633333335,0.454129,0.20795621666666667,0.1061855,167,132
49.5102#50.30612#7.93878#9.34694#Bombing_Explosion-Facility_Infrastructure_Attack,0.37108563581081083,0.4542695,0.24952389520547943,0.21855700000000003,252,146
