lattgt1 lattgt2 lontgt1 lontgt2 vartgt auc
38.36735 39.16327 40.32653 41.73469 Bombing_Explosion-Facility_Infrastructure_Attack 0.775948
38.36735 39.16327 40.32653 41.73469 VAR 0.807747
38.36735 39.16327 43.14286 44.55102 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.5
38.36735 39.16327 43.14286 44.55102 VAR 0.975172
39.16327 39.95918 31.87755 33.285709999999995 Bombing_Explosion-Facility_Infrastructure_Attack 0.657921
39.16327 39.95918 31.87755 33.285709999999995 VAR 0.70105
39.16327 39.95918 38.91837 40.32653 VAR 0.962757
39.16327 39.95918 40.32653 41.73469 Bombing_Explosion-Facility_Infrastructure_Attack 0.93931
39.16327 39.95918 40.32653 41.73469 VAR 0.804771
39.16327 39.95918 43.14286 44.55102 Bombing_Explosion-Facility_Infrastructure_Attack 0.918272
39.16327 39.95918 43.14286 44.55102 VAR 0.8661549999999999
39.95918 40.7551 22.02041 23.42857 Bombing_Explosion-Facility_Infrastructure_Attack 0.910711
39.95918 40.7551 22.02041 23.42857 VAR 0.908965
40.7551 41.55102 27.65306 29.06122 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.934934
40.7551 41.55102 27.65306 29.06122 Bombing_Explosion-Facility_Infrastructure_Attack 0.696926
40.7551 41.55102 27.65306 29.06122 VAR 0.802551
40.7551 41.55102 29.06122 30.46939 Bombing_Explosion-Facility_Infrastructure_Attack 0.7378279999999999
40.7551 41.55102 29.06122 30.46939 VAR 0.831361
41.55102 42.34694 7.93878 9.34694 Bombing_Explosion-Facility_Infrastructure_Attack 0.962707
41.55102 42.34694 7.93878 9.34694 VAR 0.957113
41.55102 42.34694 12.16327 13.57143 Bombing_Explosion-Facility_Infrastructure_Attack 0.8415
41.55102 42.34694 43.14286 44.55102 Bombing_Explosion-Facility_Infrastructure_Attack 0.661724
41.55102 42.34694 43.14286 44.55102 VAR 0.952958
41.55102 42.34694 44.55102 45.95918 VAR 0.980223
41.55102 42.34694 47.36735 48.77551 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.8636950000000001
41.55102 42.34694 47.36735 48.77551 VAR 0.749782
42.34694 43.14286 7.93878 9.34694 Bombing_Explosion-Facility_Infrastructure_Attack 0.933778
42.34694 43.14286 7.93878 9.34694 VAR 0.910339
42.34694 43.14286 9.34694 10.7551 Bombing_Explosion-Facility_Infrastructure_Attack 0.585869
42.34694 43.14286 9.34694 10.7551 VAR 0.866981
42.34694 43.14286 40.32653 41.73469 Bombing_Explosion-Facility_Infrastructure_Attack 0.616509
42.34694 43.14286 40.32653 41.73469 VAR 0.8565440000000001
42.34694 43.14286 43.14286 44.55102 Bombing_Explosion-Facility_Infrastructure_Attack 0.934241
42.34694 43.14286 43.14286 44.55102 VAR 0.7092350000000001
42.34694 43.14286 44.55102 45.95918 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.919136
42.34694 43.14286 44.55102 45.95918 VAR 0.7618159999999999
42.34694 43.14286 45.95918 47.36735 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.822224
42.34694 43.14286 45.95918 47.36735 Bombing_Explosion-Facility_Infrastructure_Attack 0.7194560000000001
42.34694 43.14286 45.95918 47.36735 VAR 0.792249
42.34694 43.14286 47.36735 48.77551 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.739332
42.34694 43.14286 47.36735 48.77551 Bombing_Explosion-Facility_Infrastructure_Attack 0.739052
42.34694 43.14286 47.36735 48.77551 VAR 0.776651
43.14286 43.93878 10.7551 12.16327 VAR 0.487603
43.14286 43.93878 17.795920000000006 19.20408 VAR 0.98758
43.14286 43.93878 41.73469 43.14286 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.857102
43.14286 43.93878 41.73469 43.14286 Bombing_Explosion-Facility_Infrastructure_Attack 0.726172
43.14286 43.93878 41.73469 43.14286 VAR 0.8172510000000001
43.14286 43.93878 43.14286 44.55102 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.8375950000000001
43.14286 43.93878 43.14286 44.55102 Bombing_Explosion-Facility_Infrastructure_Attack 0.76137
43.14286 43.93878 43.14286 44.55102 VAR 0.771663
43.14286 43.93878 44.55102 45.95918 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.7194560000000001
43.14286 43.93878 44.55102 45.95918 Bombing_Explosion-Facility_Infrastructure_Attack 0.7649779999999999
43.14286 43.93878 44.55102 45.95918 VAR 0.689973
43.14286 43.93878 45.95918 47.36735 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.738071
43.14286 43.93878 45.95918 47.36735 Bombing_Explosion-Facility_Infrastructure_Attack 0.686909
43.14286 43.93878 45.95918 47.36735 VAR 0.755433
43.93878 44.73469 41.73469 43.14286 Bombing_Explosion-Facility_Infrastructure_Attack 0.746674
43.93878 44.73469 41.73469 43.14286 VAR 0.858289
43.93878 44.73469 45.95918 47.36735 Bombing_Explosion-Facility_Infrastructure_Attack 0.8540909999999999
43.93878 44.73469 45.95918 47.36735 VAR 0.861541
44.73469 45.53061 7.93878 9.34694 Bombing_Explosion-Facility_Infrastructure_Attack 0.8855149999999999
44.73469 45.53061 7.93878 9.34694 VAR 0.98069
47.91837 48.71429000000001 14.97959 16.38776 Bombing_Explosion-Facility_Infrastructure_Attack 0.797376
47.91837 48.71429000000001 14.97959 16.38776 VAR 0.8472069999999999
48.71429000000001 49.5102 2.30612 3.71429 Bombing_Explosion-Facility_Infrastructure_Attack 0.76426
48.71429000000001 49.5102 2.30612 3.71429 VAR 0.913227
49.5102 50.30612 13.57143 14.97959 Bombing_Explosion-Facility_Infrastructure_Attack 0.8827450000000001
49.5102 50.30612 13.57143 14.97959 VAR 0.7507689999999999
50.30612 51.10204 30.46939 31.87755 Bombing_Explosion-Facility_Infrastructure_Attack 0.73478
50.30612 51.10204 30.46939 31.87755 VAR 0.8496040000000001
51.89796 52.69388000000001 3.71429 5.12245 Bombing_Explosion-Facility_Infrastructure_Attack 0.715603
51.89796 52.69388000000001 3.71429 5.12245 VAR 0.615725
51.89796 52.69388000000001 5.12245 6.53061 VAR 0.732695
51.89796 52.69388000000001 12.16327 13.57143 VAR 0.684547
52.69388000000001 53.4898 -7.5510199999999985 -6.14286 Bombing_Explosion-Facility_Infrastructure_Attack 0.8120850000000001
52.69388000000001 53.4898 -7.5510199999999985 -6.14286 VAR 0.622321
52.69388000000001 53.4898 48.77551 50.18367 Bombing_Explosion-Facility_Infrastructure_Attack 0.6053069999999999
52.69388000000001 53.4898 48.77551 50.18367 VAR 0.90323
