,x,xdot
7.0881,-0.22750900000000002,0.335534
7.1914,-0.19104000000000002,0.369881
7.2947,-0.151239,0.400014
7.397989999999999,-0.108556,0.425617
7.501289999999999,-0.0634736,0.446424
7.604589999999999,-0.0164996,0.462218
7.707889999999999,0.031839799999999994,0.472837
7.81118,0.0810038,0.478171
7.91448,0.130443,0.47817
8.01778,0.179607,0.472839
8.12107,0.227948,0.462239
8.22437,0.274926,0.446488
8.32767,0.32001799999999997,0.425759
8.43097,0.362722,0.400278
8.53426,0.402559,0.370321
8.63756,0.43908500000000006,0.33621100000000004
8.740860000000001,0.47188800000000003,0.29831599999999997
8.84416,0.500599,0.257046
8.94745,0.524891,0.212844
9.05075,0.5444869999999999,0.166185
9.15405,0.559157,0.11757000000000001
9.25734,0.5687270000000001,0.06752310000000002
9.3635,0.573121,0.015162
9.47432,0.571753,-0.039862800000000004
9.59216,0.56362,-0.0980386
9.722539999999999,0.54671,-0.16103199999999998
9.86473,0.519089,-0.226872
9.98644,0.488216,-0.27987
10.1081,0.45112399999999997,-0.328937
10.2299,0.40833800000000003,-0.373342
10.3331,0.36800700000000003,-0.406876
10.4364,0.324427,-0.43621400000000005
10.5397,0.278047,-0.461038
10.642999999999999,0.229348,-0.481083
10.7463,0.178834,-0.49613100000000004
10.8496,0.127032,-0.506019
10.9529,0.0744793,-0.5106390000000001
11.0562,0.021724200000000003,-0.509939
11.1595,-0.0306839,-0.5039239999999999
11.2628,-0.08219839999999999,-0.492655
11.3661,-0.13228299999999998,-0.47625
11.4694,-0.18041400000000002,-0.45488100000000004
11.5727,-0.226091,-0.428775
11.675999999999998,-0.268839,-0.398206
11.7793,-0.308213,-0.363498
11.8825,-0.343803,-0.325019
11.9858,-0.375241,-0.28317800000000004
12.0891,-0.40220300000000003,-0.23841700000000002
12.1924,-0.424411,-0.191212
12.2957,-0.44163800000000003,-0.14206300000000002
12.399000000000001,-0.45371000000000006,-0.09149410000000001
12.5052,-0.460621,-0.038605400000000005
12.616,-0.461821,0.0169582
12.7338,-0.456354,0.0756939
12.8642,-0.442317,0.139293
13.0064,-0.41774700000000003,0.20575300000000002
13.1281,-0.389414,0.259277
13.2498,-0.354798,0.30885799999999997
13.3715,-0.31442600000000004,0.353763
