,gamma,gamma_dot
8.031088002590673,0.0,0.0
8.160621680051813,0.608459,0.0
8.290155357512953,0.287179,0.0
8.419689034974093,0.6143460000000001,0.840442
8.549222712435233,0.634254,0.516335
8.678756389896373,0.605631,0.478436
8.808290067357513,0.430468,0.352559
8.937823744818653,0.47172299999999995,0.24803200000000003
9.067357422279793,0.0622744,0.05914199999999999
9.196891099740933,0.0,0.0
9.326424777202073,0.0,0.0
9.455958454663213,0.0,0.0
9.585492132124353,0.0,0.0
9.715025809585491,0.0,0.0
9.84455948704663,0.0,0.0
9.97409316450777,0.0,0.0
10.10362684196891,0.0,0.0
10.23316051943005,0.6079720000000001,0.0
10.36269419689119,0.0,0.0
10.49222787435233,0.6142029999999999,0.0
10.62176155181347,0.6755720000000001,0.7709600000000001
10.75129522927461,0.6026279999999999,0.625197
10.88082890673575,0.427594,0.41175500000000004
11.01036258419689,0.469077,0.24821500000000002
11.13989626165803,0.054481299999999996,0.0974525
11.26942993911917,0.0,0.0
11.39896361658031,0.0,0.0
11.52849729404145,0.0,0.0
11.65803097150259,0.0,0.0
11.78756464896373,0.0,0.0
11.91709832642487,0.0,0.0
12.04663200388601,0.0,0.0
12.17616568134715,0.0,0.0
12.30569935880829,0.6061,0.0
12.43523303626943,0.0,0.0
12.564766713730569,0.612427,0.9141
12.694300391191708,0.673979,0.516204
12.823834068652848,0.61455,0.610754
12.953367746113988,0.542624,0.35178200000000004
13.082901423575128,0.22248800000000002,0.24785100000000002
13.212435101036268,0.0614784,0.0981308
13.341968778497408,0.014708500000000001,0.0178896
13.471502455958548,0.0,0.0
13.601036133419688,0.0,0.0
13.730569810880828,0.0,0.0
13.860103488341968,0.0,0.0
13.989637165803108,0.0,0.0
14.119170843264248,0.0,0.0
14.248704520725388,0.0,0.0
14.378238198186528,0.605572,0.0
14.507771875647668,0.0,0.0
14.637305553108808,0.612464,0.0
14.766839230569948,0.670971,0.7709520000000001
14.896372908031088,0.612242,0.625102
15.025906585492228,0.423987,0.41107200000000005
15.155440262953368,0.221727,0.24759499999999998
15.284973940414506,0.0543646,0.0971857
15.414507617875646,0.0,0.0
15.544041295336786,0.0,0.0
15.673574972797926,0.0,0.0
15.803108650259066,0.0,0.0
15.932642327720206,0.0,0.0
16.062176005181346,0.0,0.0
16.191709682642486,0.0,0.0
16.321243360103626,1.11022e-16,0.0
16.450777037564766,0.603527,0.0
16.580310715025906,0.0,0.0
16.709844392487046,0.6105,0.8390200000000001
16.839378069948186,0.6272760000000001,0.515847
16.968911747409326,0.609576,0.610128
17.098445424870466,0.5384479999999999,0.350986
17.227979102331606,0.462582,0.246567
17.357512779792746,0.0604322,0.0588179
17.487046457253886,0.104404,0.0247341
17.616580134715026,0.0,0.0
17.746113812176166,0.0,0.0
17.875647489637306,0.0,0.0
18.005181167098446,0.0,0.0
18.134714844559586,0.0,0.0
18.264248522020726,0.0,0.0
18.393782199481866,7.256060000000001e-06,0.0
18.523315876943006,0.60295,0.0
18.652849554404145,0.0,0.0
18.782383231865285,0.610639,0.0
18.911916909326425,0.661269,0.769655
19.041450586787565,0.539878,0.623396
19.170984264248705,0.41975200000000007,0.409706
19.300517941709845,0.22176300000000002,0.24687199999999998
19.430051619170982,0.059271500000000005,0.0968849
19.55958529663212,0.102703,0.017535
19.68911897409326,0.0,0.0
19.8186526515544,0.0,0.0
19.94818632901554,0.0,0.0
20.07772000647668,0.0,0.0
20.20725368393782,0.0,0.0
20.33678736139896,0.0,0.0
20.4663210388601,0.0,0.0
20.59585471632124,0.600708,0.0
20.72538839378238,0.284379,0.0
20.85492207124352,0.0,0.9120959999999999
20.98445574870466,0.658814,0.515811
21.1139894261658,0.538617,0.609201
21.24352310362694,0.533504,0.350147
21.37305678108808,0.45692299999999997,0.246123
21.50259045854922,0.0,0.059624699999999996
21.63212413601036,0.103679,0.0
21.7616578134715,0.0,0.0
21.89119149093264,0.0,0.0
22.02072516839378,0.0,0.0
22.15025884585492,0.0,0.0
22.27979252331606,0.0,0.0
22.4093262007772,0.0,0.0
22.53885987823834,0.0,0.0
22.66839355569948,0.600075,0.0
22.79792723316062,0.0,0.0
22.92746091062176,0.608409,0.0
23.0569945880829,0.65954,0.770019
23.18652826554404,0.5348109999999999,0.622555
23.31606194300518,0.5110399999999999,0.408376
23.44559562046632,0.221124,0.24619899999999997
23.57512929792746,0.0583731,0.0967994
23.7046629753886,0.101332,0.0
23.83419665284974,0.0,0.0
23.96373033031088,0.0,0.0
24.09326400777202,0.0,0.0
24.22279768523316,0.0,0.0
24.3523313626943,0.0,0.0
24.48186504015544,0.0,0.0
24.61139871761658,0.0,0.0
24.74093239507772,0.597605,0.0
24.87046607253886,0.0,0.0
24.999999749999997,0.0,0.652269
25.129533427461137,0.6571600000000001,0.516184
25.259067104922277,0.534543,0.607667
25.388600782383417,0.527668,0.349418
25.518134459844557,0.4504,0.24466999999999997
25.647668137305697,0.07039830000000001,0.0590496
25.777201814766837,0.103498,0.0
25.906735492227977,0.0,0.0
